English;Español
In 1000 years, when paper money is but a distant memory, ____ will be our currency.;En 1000 años, el papel moneda será reemplazado por ___ para realizar transacciones.
What's the next superhero/sidekick duo ? (2);Quel est le prochain duo de superhéros ? (2)
In M. Night Shyamalan's new movie, Bruce Willis discovers that ____ had really been ___ all along (2);Dans le nouveau filmde M. Night Shyamalan, Bruce Willis apprend que ___ était en fait ___ depuis le début. (2)
A romantic, candlelit dinner would be incomplete without ____;Un dîner romantique aux chandelles ne serait pas complet sans ___.
_____. Betcha can't have just one!;____ . Porque no puedes comer sólo uno(a)!
White people like ____;A la gente blanca le gusta ___.
____. High five, bro.;____. Choca esos cinco!
Next from J.K. Rowling: Harry Potter and the Chamber of ____;Le prochain bouquin de J.K Rowling : Harry Potter et ___.
BILLY MAYS HERE FOR;Pierre Bellemare vous présente ce magnifique produit, ___.
In a world savaged by ____, our only solace is _____(2);En un mundo devastado por ___, nuestra única esperanza es ___. (elige 2)
War! What is it good for ?;Para qué sirven las guerras?
During sex, I like to think about ____;Durante el sexo, me gusta pensar en ___.
What are my parents hiding from me ?;Qué me están escondiendo mis papás?
What will always get you laid ?;Qu'est-ce qui marche à chaque fois pour finir au pieu ?
When I'm in prison, I'll have ____ smuggled in.;Si je finis en prison, je ferai passer ___ en douce.
What did I bring back from Mexico ?;Qu'est-ce que j'ai ramené d'Amsterdam ?
What don't you want to find in your Chinese food ?;Qu'est-ce que tu n'aimerais pas trouver chez ton traiteur chinois ?
What will I bring back in time to convince people that I am a powerful wizard ?;Que vais-je ramener du futur pour convaincre le monde que je suis un sorcier puissant ?
How am I maintaining my relationship status ?;Je maintiens mon couple grâce à ___.
____. It's a trap !;____. IT'S A TRAP!
Coming to Broadway this season,  ____: the musical.;Próximamente, en el Teatro Municipal: ___, el Musical.
While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ____;Pendant que la France investissait tout son budget dans le Charles-De-Gaulle, les Américains claquaient des millions de dollars dans la recherche sur ___.
After Hurricane Katrina, Sean Penn brought ____ to the people of New Orleans;Après les émeutes, Nicolas Sarkozy a apporté ____ aux jeunes défavorisés des banlieues
Due to a PR fiasco, Walmart no longer offers ____;A cause d'un fiasco médiatique, Lidl ne vend désormais plus de ___.
In his new summer comedy, Rob Schneider is ____ trapped in the body of ____ (2);Dans sa prochaine comédie, Gad Elmaleh sera ___ enfermé dans le corps de ___. (2)
Rumor has it that Vladimir Putin's favorite dish is ____ stuffed with ____ (2);La rumeur veut que le plat préféré de Vladimir Poutine soit ___ farci à ___. (2)
But before I kill you, Mr Bond, I must show you ____;Pero antes de matarlo, Sr. Bond, debo mostrarle ____
What gives me uncontrollable gas ?;Qué me provoca diarrea explosiva?
What do old people smell like ?;La gente vieja huele a ___.
The class field trip was completely ruined by ___;La gira de estudio fue completamente arruinada por ___.
When Pharaoh remained unmoved, Moses called down a Plague of ____;Comme le Pharaon restait de marbre, Moïse invoqua un autre fléau : ___
What's my secret power ?;Cuál es mi superpoder secreto?
What's there a ton of in heaven ?;En el cielo, hay una tonelada de ___
What would grandma find disturbing, yet oddly charming ?;Qué encontraría tu abuela perturbante, pero extrañamente agradable?
I never truly understood ____ until I encountered ____ (2);Nunca entendí bien ___ hasta que me topé con ___. (elige 2)
The US has begun airdropping ___ to the children of Afghanistan;Les Etats-Unis ont commencé à larguer ___ aux petits Afghans.
What helps Obama unwind ?;Qué ayuda a Bachelet a relajarse?
What did Vin Diesel eat for dinner ?;La recette du jour de Maïté : ___
____ : Good to the last drop;___ : Delicioso hasta el último mordisco!
Why am I sticky ?;Por qué me siento sucio?
What gets better with age ?;Qué mejora con el paso del tiempo?
____: kid-tested, mother-approved;___: Probado por niños, aprobado por madres.
What's the crustiest ?;Qué es lo más crujiente?
What's Teach for America using to inspire inner city student to succeed?;Qué está usando el Ministerio de Educación para motivar a los estudiantes de Chile antes del Simce?
Studies show that lab rats navigate mazes 50% after being exposed to ____;Des études montrent que les rats de laboratoire se répèrent 50% plus facilement dans les labyrinthes après avoir été exposés à ___.
Life was difficult for cavemen before _____;La vida del hombre prehistórico fue complicada antes de ___.
Make a haiku. (draw 2, pick 3);Haz un Haiku (bota 2, elige 3)
I do not know with what weapons World War III will be fought, but World War IV will be fought with ____;Je ne sais pas avec quelles armes on se battra pendant la 3e Guerre Mondiale, par contre pour la 4e Guerre Mondiale : ___.
Why do I hurt all over ?;Por qué me duele todo?
What am I giving up for Lent ?;Pendant Ramadan, j'arrête ___.
In Michael Jackson's final moments, he thought about ____;El último pensamiento de Michael Jackson antes de morir: ___.
In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____;En un intento de atraer más visitantes, el Museo Nacional de Historia Natural ha abierto una exibición interactiva acerca de ___.
When I am President of the United States, I will create the Department of ____;Cuando gobierne este país, crearé el Ministerio de ___.
LifeTime presents _____, the story of ____(2);TVN presenta ___, la historia de ___. (elige 2)
When I am a billionaire, I shall erect a 50-foot statue to commemorate ____;Cuando sea millonario, levantaré un monumento para conmemorar ___
When I was tripping on acid, ____ turned into ____ (2);Cuando estaba volao, ___ se convirtió en ___. (elige 2)
That's right, I killed ____, How, you ask ? ____ (2);Así es, maté a ___. Cómo? Muy simple, ___. (elige 2)
What's my anti-drug ?;La drogue, j'arrête quand je veux grâce à _____
____ + ____ = _____ (draw 2, pick 3);____ + ____ = ____ (bota 2, elige 3)
What never fails to liven up the party ?;Qu'est-ce qui ne manque jamais d'égayer un pince-fesse ?
What's the new fad diet ?;Cuál es la nueva dieta de moda?
Major League Baseball has banned ____ for giving players an unfair advantage.;La ANFP ha prohibido ___ por darle a los jugadores una ventaja injusta.
;Mami, qué será lo que quiere el negro?
;Pucha Rumpy, estoy teniendo ataos con ___ y quería pedirte consejo.
;Qué le pasa a Lupita?
;La Teletón? A la mierda, este año voy a donar a una asociación de ___.
