English;Español
A thermonuclear detonation;Una explosión termonuclear.
The Tempur-Pedic Swedish Sleep System;
Waiting 'til marriage;Guardarse hasta el matrimonio.
A tiny horse;Un pony.
A can of whoop-ass;Un mundo de dolor y sufrimiento.
Dental dams;Frenillos.
Feeding Rosie O'Donnell;El guatón Dávalos.
Old-people smell;Olor a viejo.
Genghis Khan;Genghis Khan.
Authentic Mexican cuisine;Auténtica cocina mexicana.
Oversized lollipops;Pico Dulce™.
Garth Brooks;Américo.
Keanu Reeves;Keanu Reeves.
Drinking alone;Curarse solo.
The American Dream;El sueño americano.
Taking off your shirt;Sacarse la polera.
Giving 110%;Dar el 110%.
Flesh-eating bacteria;Bacterias come carne.
Child abuse;Abuso de menores.
A cooler full of organs;Un cooler lleno de órganos.
A moment of silence;Un minuto de silencio.
The Rapture;El fin del mundo.
Keeping Christ in Chrismas;El Cuerpo de Cristo.
Robocop ;Robocop
That one gay Teletubby;Ese Teletubby gay.
Sweet, sweet vengeance;Dulce, dulce venganza.
Fancy Feast;Dog Chow.
Pooping back and forth. Forever.;Tormenta de arena.
Being a motherfucking sorcerer;Ser el puto amo.
Jewish fraternities;Las Juventudes Comunistas.
Edible underpants;Ropa interior comestible.
Poor people;Gente pobre.
All-you-can-eat shrimps for $4.99;Buffets baratos con pura mierda.
Britney Spears at 55;Britney Spears a los 55.
That thing that electrocutes your abs;Esa wea que te electrocuta los abdominales.
The folly of man;La estupidez del ser humano.
Fiery poops;Peo con ""sorpresa"".
Cards Against Humanity;Cards Against Humanity.
A murder most foul;Un asesinato brígido.
Me time;Tiempo a ""solas"".
The inevitable heat death of the universe;La inevitable muerte térmica del universo.
Nocturnal emissions;Emisiones nocturnas.
Daddy issues;Complejo de Electra.
The hardworking Mexican;Mano de Obra Peruana.
Natalie Portman;Natalie Portman.
Waking up half-naked in a Denny's parking lot;Despertar semidesnudo en el estacionamiento de un McDonalds.
Nipple blades;Un piercing en el pezón.
Assless chaps;Minas sin poto.
Full frontal nudity;Estar en pelotas.
Hulk Hogan;Guatón Dávalos.
Passive-aggression;Mensajes pasivos-agresivos.
Ronald Reagan;Augusto Pinochet.
Vehicular manslaughter;Muerte por atropello.
Menstruation;La menstruación.
Pulling out;Sacarla.
Picking up girls at the abortion clinic;Ir a la clínica por una ""apendicitis"".
The homosexual agenda;La agenda homosexual.
The Holy Bible;La Santa Biblia.
World peace;La paz mundial.
Dropping a chandelier on your enemies and riding the rope up;
Testicular torsion;Una patá en las bolas.
The milk man;EL LECHEEROOOOOO!!!
A time-travel paradox;Una paradoja de viajes en el tiempo.
Hot Pockets;Fideos Maruchan™.
Guys who don't call;Minos que no te llaman.
Eating the last known bison;Comerse el último bisonte vivo.
Darth Vader;Darth Vader.
Scalping;Invertir en la Bolsa.
Homeless people;Personas en situación de calle.
The Worlds of Warcraft;World of Warcraft.
Gloryholes;Gloryholes.
Saxophone solos;Solos de saxofón.
Sean Connery;Compadre Moncho.
God;Dios.
Intelligent design;Diseño inteligente.
"The taint; the grundle, the fleshy fun-bridge";Comerse la ""concha"".
Friendly fire;Fuego amigo.
Keg stands;Tomar hasta quedar hecho mierda.
Eugenics;Eugenesia.
A good sniff;Pegarse un polvazo.
Lockjaw;
A neglected Tamagotchi;Un Tamagotchi olvidado.
The People's Elbow;
Robert Downey Jr.;Robert Downey Jr.
The heart of a child;El corazón de un niño.
Seduction;Seducción.
Smallpox blankets;Sábanas con viruela.
Licking things to claim them as your own;Lamer cosas para reclamarlas como tuyas.
A salty surprise;Cuando te la chupan y te vas sin avisar.
Poorly-timed Holocaust jokes;Contar chistes de la Dictadura Militar en el peor momento.
My soul;Mi alma.
My sex life;Mi vida sexual.
Pterodactyl eggs;Huevos de dinosaurio.
Altar boys;Homosexuales conservadores.
Forgetting the Alamo;Olvidar el Combate Naval de Iquique.
72 virgins;72 vírgenes.
Raping and pillaging;Violaciones en masa.
Pedophiles;Pedófilos.
Eastern European Turbo-Folk music;Música andina peruana.
A snapping turtle biting the tip of your penis;Una tortuga mordiéndote la punta del pico.
Pabst Blue Ribbon;Becker™.
Domino's Oreo Dessert Pizza;Pizza con piña.
My collection of high-tech sex toys;Mi colección de dildos hi-tech.
A middle-aged man on roller skates;Un hombre adulto en patines.
The Blood of Christ;La Sangre de Cristo.
Half-assed foreplay;La previa antes de tirar.
Free samples;Muestras gratis.
Douchebags on their iPhones;Imbéciles en sus iPhones.
Hurricane Katrina;El fenónemo de El Niño.
Wearing underwear inside-out to avoid doing laundry;Usar la ropa interior al revés para no tener que lavarla.
Republicans;La UDI.
The glass ceiling;Un techo de cristal.
A foul mouth;Un weón haciendo weás.
Jerking off into a pool of children's tears;Correrse la paja en una piscina.
Getting really high;Volar alto.
The deformed;Weones deformes.
Michelle Obama's arms;Los brazos de La Gordis.
Explosions;Explosiones!
The Übermensch;El Superhombre.
Donald Trump;Donald Trump.
Sarah Palin;Gustavo Hasbún.
Attitude;Actitud.
This answer is postmodern;Esta respuesta es hipster.
Crumpets with the Queen;Sodomía, voyeurismo y sexo gay desmedidos.
Frolocking;Jugueteo sexual.
Team-building exercises;Trabajo en Equipo.
Repression;Represión.
Road head;Imbéciles al volante.
A bag of magic beans;Una bolsa de pastillas mágicas.
An asymmetric boob job;Tetas asimétricas.
Dead parents;Padres muertos.
Public ridicule;Hacer el ridículo, públicamente.
A mating display;Comerse en público.
A mime having a stroke;Un mimo con ataque cardíaco.
Stephen Hawking talking dirty;Stephen Hawking hablando sucio.
African Children;Niños africanos.
Mouth herpes;Herpes bucal.
Overcompensation;Sobreexageración.
Bill Nye the Science Guy;Tío Emilio.
Bitches;Putas.
Italians;Los argentinos.
Have some more kugel;
A windmill full of corpses;Un molino lleno de cadáveres.
Her Royal Highness, Queen Elizabeth II;Su Excelencia, la Presidenta Michelle Bachelet.
Crippling debt;Deuda agobiante.
Adderall;Ritalin.
A stray pube;Vello púbico.
Shorties and blunts;Putas fumando mariguana.
Passing a kidney stone;Orinar cálculos renales.
Prancing;Webeo.
Leprosy;Lepra.
A brain tumor;Un tumor cerebral.
Bees ?;Abejas?
Puppies !;Doggos!
Cockfights;Pelea de ""espadas"".
Kim Jong-Il;Kim Jong-Il.
Hope;Esperanza.
9oz. of sweet Mexican black-tar heroin;200 gramos de dulce heroína Mexicana.
Incest;Incesto.
Grave robbing;Profanación de tumbas.
Asians who aren't good at math;Asiáticos malos en matemáticas.
Alcoholism;Alcoholismo.
(I am doing Kegels right now.);
Justin Bieber;Justin Bieber.
The Jews;Judíos.
Bestiality;Zoofilia.
Winking at old people;Guiñarle el ojo a la tercera edad.
Drum circles;
Kids with ass cancer;Niños con cáncer de recto.
Loose lips;
Auschwitz;Auschwitz.
Civilian casualties;Víctimas civiles.
Inappropriate yodeling;
Tangled Slinkys;Que el pico se te atasque en el cierre.
Being on fire;Estar ON FIRE.
The Thong Song;Chica Eléctrica.
A vajazzled vagina;Vaginas con piercings.
Riding off into the sunset;Cabalgar hacia el ocaso.
Exchanging pleasantries;Intercambio de cumplidos.
My relationship status;Mi estado sentimental.
Shaquille O'Neal's acting career;La carrera actoral de Denise Rosenthal.
Being fabulous;Ser FA-BU-LO-SO.
Lactation;Amamantar.
Not reciprocating oral sex;Sexo oral no recíproco.
Sobbing into a Hungry-Man Frozen Dinner;Saborear el cáncer de unos fideos Maruchan™.
My genitals;Mis genitales.
Date rape;Violación de pareja.
Ring Pops;Masticables.
GoGurt;Yogurt.
Judge Judy;La Jueza.
Lumberjack fantasies;Fantasías sexuales con leñadores.
The gays;Los gays.
Scientology;Opus Dei.
Estrogen;Estrógeno.
Police brutality;Violencia policial.
Passable transvestites;Travestis pasables.
The Virginia Tech Massacre;Los Detenidos Desaparecidos.
Tiger Woods;Chino Ríos.
Dick Fingers;Dedos de mantequilla.
Racism;Racismo.
Glenn Beck being harried by a swarm of buzzards;
Surprise sex !;Sexo sorpresa!
Classist undertones; Clasismo ABC1.
Booby-trapping the house to foil burglars;Llenar la casa de trampas para atrapar a los lanzas.
New Age music;Música de la Nueva Ola.
PCP;LSD.
A lifetime of sadness;Una vida de depresión.
Doin't it in the butt;Sexo anal.
Swooping;
The Hamburglar;Chispita.
Tentacle porn;Porno hentai con tentáculos.
A hot mess;Un motel.
Too much hair gel;Mucho gel.
A look-see;Una inspección detallada.
Not giving a shit about the Third World;Que te importe una mierda la gente pobre.
The Kool-Aid Man;Don Francisco.
Mr. Snuffleupagus;Epidemia de Cachureos.
Barack Obama;Barack Obama.
Golden showers;Un baño de orina.
Wiping her butt;Limpiarle el culo.
Queefing;Peos vaginales.
Getting drunk on mouthwash;Curarse con enjuague bucal.
A M. Night Shyamalan plot twist;Una pelicula de Nicolás López.
A robust mongoloid;Un mongólico musculoso.
Nazis;Nazis.
White privilege;Supremacía blanca.
An erection that lasts longer than four hours;Una erección que dura más de 4 horas.
A disappointing birthday party;Un compleaños deprimente.
Puberty;Pubertad.
Two midgets shitting into a bucket;2 enanos cagando en un balde.
Wifely duties;Deberes de dueña de casa.
The forbidden fruit;El fruto prohibido.
Getting so angry that you pop a boner;Enojarte tanto que te se te para.
Sexual tension;Tensión sexual.
Third base;Llegar a Tercera Base.
A gassy antelope;Una pendeja rica, pero ilegal.
Those times when you get sand in your vagina;Esas veces cuando te entra arena a la vagina.
A Super Soaker full of cat pee;Una pistola de agua llega de mea'o de gato.
Muhammad (Praise Be Unto Him);Mohammed (que la bendición de Dios esté con El).
Racially-biased SAT questions;Preguntas racistas de la PSU.
Porn stars;Estrellas del porno.
A fetus;Un feto.
Obesity;Obesidad.
When you fart and a little bit comes out;Cuando el peo viene con sorpresa.
Oompa-Loompas;Oompa-Loompas.
BATMAN!!!;BATMAN!!!
Black people;Negros.
Tasteful sideboob;
Hot people;Gente rica.
Grandma;La abuela.
Cooping a feel;Agarrarle el paquete (o las tetas).
The Trail of Tears;El Camino del Inca.
Famine;Hambruna.
Finger painting;Pintar con los dedos.
The miracle of childbirth;El milagro de la vida.
Goats eating cans;Cabras comiendo latas.
A monkey smoking a cigar;Un mono fumando como estufa.
Faith healing;Sanación del alma.
Parting the Red Sea;Navegar el Mar Rojo.
Dead babies;Guaguas muertas.
The Amish;Los Mapuche.
Impotence;Impotencia.
Child beauty pageants;Concursos de belleza para niñas.
Centaurs;Centauros.
AXE Body Spray;Desodorante AXE.
Kanye West;Kel Calderón.
Women's suffrage;El voto femenino.
Children on leashes;Niños con correa.
Harry Potter erotica;Harry Potter erotica.
The Dance of the Sugar Plum Fairy;
Lance Armstrong's missing testicle;El testículo perdido de Lance Armstrong.
Dwarf tossing;Lanzamiento de enanos.
Mathletes;Olimpiadas de matemática.
Lunchables;Maruchan™.
Women in yogurt commercials;Mujeres depilándose en comerciales.
John Wilkes Booth;Bernardo O'Higgins.
Powerful thighs;Un buen poto.
Mr Clean, right behind you;Sr Bond, detrás de usted.
Multiple stab wounds;Múltiples puñaladas.
Cybernetic enhancements;Implantes cibernéticos.
Serfdom;La servidumbre.
Another goddamn vampire movie;Otra puta película de vampiros.
Glenn Beck catching his scrotum on a curtain hook;
A big hoopla about nothing;Mucho alboroto por nada.
Peeing a little bit;Mearte un poquito.
The Hustle;Playboy.
Ghosts;Fantasmas.
Bananas in Pajamas;Bananas en Pijamas.
Active listening;Escucha activa.
Dry heaving;Buitrear.
Kamikaze pilots;Pilotos kamikazes.
The Force;La Fuerza.
Anal beads;Cuentas anales.
The Make-A-Wish Foundation;La Fundación Tetcho.
;La Pasta.
